Row Labels,Average of Maths..,Average of Reading..,Average of Science..,Average of Social..,Total
Degree & above,36.894875,70.29428571,45.21681159,47.24873418,199.6547065
Illiterate,30.14376824,49.47725275,34.62512799,38.6080298,152.8541788
Primary,33.25789916,56.30699539,36.59041227,41.47079227,167.6260991
Secondary,32.15278045,59.6850712,37.53929153,41.97395349,171.3510967
Sr secondary,32.9549,66.87328205,38.54885321,43.17476415,181.5517994
(blank),28.17953052,48.51665865,34.04136,36.34330709,147.0808563
